System;Station;Commodity;Sell;Buy;Demand;;Supply;;Date;
;Walker Orbital;Tantalum;4529;;209166;High;;;2015-02-01T22:44:23+00:00;
;Walker Orbital;Titanium;1011;;31814;Low;;;2015-02-01T22:44:23+00:00;
;Walker Orbital;Uranium;3151;;294078;High;;;2015-02-01T22:44:23+00:00;
;Walker Orbital;Qai Ivitk;Rr;9;;;7;High;2015-02-01T22:44:23+00:00;
;Walker Orbital;Bauxite;63;76;;;8764;Med;2015-02-01T22:44:38+00:00;
;Walker Orbital;Bertrandite;2304;2343;;;31123;Med;2015-02-01T22:44:38+00:00;
;Walker Orbital;Coltan;1230;1267;;;8226;Med;2015-02-01T22:44:38+00:00;
;Walker Orbital;Gallite;1753;1783;;;50978;Med;2015-02-01T22:44:38+00:00;
;Walker Orbital;Indite;2008;2043;;;5713;Med;2015-02-01T22:44:38+00:00;
;Walker Orbital;Lepidolite;476;500;;;16902;Med;2015-02-01T22:44:38+00:00;
;Walker Orbital;Rutile;235;252;;;29691;Med;2015-02-01T22:44:38+00:00;
;Walker Orbital;Uraninite;763;788;;;11804;Med;2015-02-01T22:44:38+00:00;
;Walker Orbital;Auto-Fabricators;3635;;5748;Low;;;2015-02-01T22:44:38+00:00;
;Walker Orbital;Bioreducing Lichen;1228;;96882;High;;;2015-02-01T22:44:38+00:00;
;Walker Orbital;Computer Components;417;438;;;2097;Med;2015-02-01T22:44:38+00:00;
;Walker Orbital;H.E. Suits;427;;283323;High;;;2015-02-01T22:44:38+00:00;
;Walker Orbital;Robotics;2155;;45865;Med;;;2015-02-01T22:44:38+00:00;
;Walker Orbital;Leather;217;;397685;Med;;;2015-02-01T22:44:43+00:00;
;Walker Orbital;Natural Fabrics;562;;1300027;Med;;;2015-02-01T22:44:43+00:00;
;Walker Orbital;Synthetic Fabrics;292;;308131;Med;;;2015-02-01T22:44:43+00:00;
;Walker Orbital;Biowaste;15;20;;;7088;Med;2015-02-01T22:44:43+00:00;
;Walker Orbital;Scrap;27;31;;;102301;High;2015-02-01T22:44:43+00:00;
;Walker Orbital;Non-Lethal Weapons;1777;;202;Low;;;2015-02-01T22:44:43+00:00;
;Walker Orbital;Personal Weapons;4012;4079;;;4088;Med;2015-02-01T22:44:43+00:00;
;Walker Orbital;Reactive Armour;2062;;292;Low;;;2015-02-01T22:44:43+00:00;
